"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00309270","WEST NYACK, NY US","1990-01-01","0.44","0.0","2.0","42","28","28"
"USC00309270","WEST NYACK, NY US","1990-01-02","0.00","0.0","0.0","42","24","27"
"USC00309270","WEST NYACK, NY US","1990-01-03","0.00","0.0","0.0","50","24","34"
"USC00309270","WEST NYACK, NY US","1990-01-04","0.00","0.0","0.0","45","29","44"
"USC00309270","WEST NYACK, NY US","1990-01-05","0.00","0.0","0.0","45","29","30"
"USC00309270","WEST NYACK, NY US","1990-01-06","0.00","0.0","0.0","44","28","28"
"USC00309270","WEST NYACK, NY US","1990-01-07","0.00","0.0","0.0","43","22","31"
"USC00309270","WEST NYACK, NY US","1990-01-08","0.00","0.0","0.0","36","28","33"
"USC00309270","WEST NYACK, NY US","1990-01-09","0.51","3.0","3.0","45","28","37"
"USC00309270","WEST NYACK, NY US","1990-01-10","0.00","0.0","0.0","46","36","37"
"USC00309270","WEST NYACK, NY US","1990-01-11","0.07","0.0","0.0","42","29","29"
"USC00309270","WEST NYACK, NY US","1990-01-12","0.00","0.0","0.0","44","26","28"
"USC00309270","WEST NYACK, NY US","1990-01-13","0.00","0.0","0.0","30","21","22"
"USC00309270","WEST NYACK, NY US","1990-01-14","0.00","0.0","0.0","35","19","29"
"USC00309270","WEST NYACK, NY US","1990-01-15","0.10","1.2","1.0","35","28","32"
"USC00309270","WEST NYACK, NY US","1990-01-16","0.11","0.7","1.0","53","29","41"
"USC00309270","WEST NYACK, NY US","1990-01-17","0.00","0.0","0.0","58","36","50"
"USC00309270","WEST NYACK, NY US","1990-01-18","0.00","0.0","0.0","65","41","41"
"USC00309270","WEST NYACK, NY US","1990-01-19","0.00","0.0","0.0","41","26","26"
"USC00309270","WEST NYACK, NY US","1990-01-20","0.00","0.0","0.0","32","24","32"
"USC00309270","WEST NYACK, NY US","1990-01-21","0.70","2.4","1.0","34","32","32"
"USC00309270","WEST NYACK, NY US","1990-01-22","0.33","0.0","1.0","40","31","33"
"USC00309270","WEST NYACK, NY US","1990-01-23","0.08","0.5","1.0","45","28","35"
"USC00309270","WEST NYACK, NY US","1990-01-24","0.01","0.0","0.0","51","35","41"
"USC00309270","WEST NYACK, NY US","1990-01-25","0.07","0.0","0.0","49","40","49"
"USC00309270","WEST NYACK, NY US","1990-01-26","0.81","0.0","0.0","54","34","34"
"USC00309270","WEST NYACK, NY US","1990-01-27","0.13","0.0","0.0","44","27","33"
"USC00309270","WEST NYACK, NY US","1990-01-28","0.00","0.0","0.0","56","29","38"
"USC00309270","WEST NYACK, NY US","1990-01-29","0.03","0.6","0.0","40","30","38"
"USC00309270","WEST NYACK, NY US","1990-01-30","1.65","0.0","0.0","43","30","30"
"USC00309270","WEST NYACK, NY US","1990-01-31","0.00","0.0","0.0","51","25","30"
"USC00309270","WEST NYACK, NY US","1990-02-01","0.00","0.0","0.0","51","26","47"
"USC00309270","WEST NYACK, NY US","1990-02-02","0.00","0.0","0.0","51","32","32"
"USC00309270","WEST NYACK, NY US","1990-02-03","0.15","0.0","0.0","32","24","32"
"USC00309270","WEST NYACK, NY US","1990-02-04","0.32","0.0","0.0","35","30","30"
"USC00309270","WEST NYACK, NY US","1990-02-05","0.17","0.0","0.0","34","20","23"
"USC00309270","WEST NYACK, NY US","1990-02-06","0.00","0.0","0.0","51","22","35"
"USC00309270","WEST NYACK, NY US","1990-02-07","0.00","0.0","0.0","50","32","38"
"USC00309270","WEST NYACK, NY US","1990-02-08","0.00","0.0","0.0","56","28","37"
"USC00309270","WEST NYACK, NY US","1990-02-09","0.00","0.0","0.0","60","34","49"
"USC00309270","WEST NYACK, NY US","1990-02-10","0.13","0.0","0.0","58","30","30"
"USC00309270","WEST NYACK, NY US","1990-02-11","0.21","0.0","0.0","47","26","34"
