Year,Month,Day,Precip,Tmax,Tmin
1950,1,1,0.04,38,17
1950,1,2,0.24,41,33
1950,1,3,0.04,47,39
1950,1,4,0,58,46
1950,1,5,0.13,64,35
1950,1,6,0.29,36,33
1950,1,7,0.78,36,22
1950,1,8,0.02,28,3
1950,1,9,0,31,7
1950,1,10,0.17,42,30
1950,1,11,0.07,56,28
1950,1,12,0,30,17
1950,1,13,0.07,37,19
1950,1,14,0.04,56,36
1950,1,15,0,53,23
1950,1,16,0.09,42,30
1950,1,17,0,36,18
1950,1,18,0,41,21
1950,1,19,0.01,46,10
1950,1,20,0,26,11
1950,1,21,0.01,22,9
1950,1,22,0.05,35,21
1950,1,23,0.03,37,34
1950,1,24,0.19,41,31
1950,1,25,0.13,57,32
1950,1,26,0,68,54
1950,1,27,0.03,64,22
1950,1,28,0,26,15
1950,1,29,0,45,20
1950,1,30,0.04,53,23
1950,1,31,0.35,27,19
1950,2,1,0,35,19
1950,2,2,0.17,34,21
1950,2,3,0.01,37,18
1950,2,4,0,30,19
1950,2,5,0,34,13
1950,2,6,0.04,33,24
1950,2,7,0.13,35,19
1950,2,8,0,22,-8
1950,2,9,0.24,37,-2
1950,2,10,0,42,22
1950,2,11,0,39,25
1950,2,12,0,46,22
1950,2,13,0.01,39,23
1950,2,14,0.9,31,26
1950,2,15,0.64,34,29
1950,2,16,0.4,37,29
1950,2,17,0,38,26
1950,2,18,0.04,36,28
1950,2,19,0.03,36,29
1950,2,20,0,34,-5
1950,2,21,0.04,4,-6
1950,2,22,0.05,25,-2
1950,2,23,0.53,37,18
1950,2,24,0,30,17
1950,2,25,0.04,40,12
1950,2,26,0,21,3
1950,2,27,0.01,20,3
1950,2,28,0,15,0
1950,3,1,0.02,34,12
1950,3,2,0.01,31,7
1950,3,3,0,14,1
1950,3,4,0,16,-7
1950,3,5,0,41,10
1950,3,6,0,49,14
1950,3,7,0,23,3
1950,3,8,0,43,17
1950,3,9,0.61,49,14
1950,3,10,0.01,19,12
1950,3,11,0.01,25,4
1950,3,12,0.14,37,20
1950,3,13,0.18,34,22
1950,3,14,0.13,30,16
1950,3,15,0,31,20
1950,3,16,0,32,7
1950,3,17,0,31,10
1950,3,18,0.1,34,20
1950,3,19,0,25,10
1950,3,20,0,30,9
1950,3,21,0.27,43,22
1950,3,22,0,45,34
1950,3,23,1.06,42,31
1950,3,24,0.33,36,29
1950,3,25,0,42,28
1950,3,26,0,42,19
1950,3,27,0.41,44,33
1950,3,28,0,57,38
1950,3,29,0,64,37
1950,3,30,0,47,20
1950,3,31,0,35,17
1950,4,1,0,42,26
1950,4,2,0.04,45,34
1950,4,3,0.09,50,38
1950,4,4,0.09,60,47
1950,4,5,0.14,75,39
1950,4,6,0.01,47,21
1950,4,7,0,33,18
1950,4,8,0,44,23
1950,4,9,0.11,44,21
1950,4,10,0,35,14
1950,4,11,0,52,32
1950,4,12,0.04,56,31
1950,4,13,0.21,44,22
1950,4,14,0.05,33,20
1950,4,15,0.04,40,25
1950,4,16,0,47,20
1950,4,17,0,56,28
1950,4,18,0.01,64,38
1950,4,19,0,70,50
1950,4,20,0.48,74,40
1950,4,21,0.12,53,28
1950,4,22,0.05,47,31
1950,4,23,0.01,51,39
1950,4,24,0,58,29
1950,4,25,0,46,27
1950,4,26,0.05,54,38
1950,4,27,0,68,32
1950,4,28,0.03,70,37
1950,4,29,0,55,30
1950,4,30,0,51,33
1950,5,1,0.5,52,40
1950,5,2,0,53,39
1950,5,3,0,63,33
1950,5,4,0,73,45
1950,5,5,0.21,80,44
1950,5,6,0,76,49
1950,5,7,0,75,51
1950,5,8,0,60,28
1950,5,9,0,54,27
1950,5,10,0.25,68,43
1950,5,11,0.04,68,40
1950,5,12,0,56,35
1950,5,13,0,69,42
1950,5,14,0.14,68,32
1950,5,15,0,69,49
1950,5,16,0,62,50
1950,5,17,0,72,37
1950,5,18,0.3,68,50
1950,5,19,0.1,66,46
1950,5,20,0.07,50,39
1950,5,21,0,70,37
1950,5,22,0,75,40
1950,5,23,0,75,53
1950,5,24,0,71,51
1950,5,25,0,72,49
1950,5,26,0,77,52
1950,5,27,0,76,56
1950,5,28,0.63,80,48
1950,5,29,0.01,60,50
1950,5,30,0,60,53
1950,5,31,0,76,58
1950,6,1,0.68,73,55
1950,6,2,0,72,43
1950,6,3,0.02,76,63
1950,6,4,1.23,71,43
1950,6,5,0,64,40
1950,6,6,0,74,51
1950,6,7,0,80,50
1950,6,8,0,85,58
1950,6,9,0,88,64
1950,6,10,0.35,87,68
1950,6,11,0,78,48
1950,6,12,0,67,37
1950,6,13,0,75,54
1950,6,14,0.46,73,54
1950,6,15,0.01,65,51
1950,6,16,0,72,62
1950,6,17,0.04,75,49
1950,6,18,0,59,34
1950,6,19,0,61,40
1950,6,20,0,65,49
1950,6,21,0.06,79,61
1950,6,22,0,72,38
1950,6,23,0,78,57
1950,6,24,0.92,87,66
1950,6,25,0.29,85,63
1950,6,26,0,81,55
1950,6,27,0,87,68
1950,6,28,0.01,74,53
1950,6,29,0,76,53
1950,6,30,0.36,75,50
1950,7,1,0,78,49
1950,7,2,0,77,47
1950,7,3,0.1,80,60
1950,7,4,0.34,81,64
1950,7,5,0.01,77,61
1950,7,6,0.18,82,57
1950,7,7,0,74,51
1950,7,8,0,80,50
1950,7,9,0,83,52
1950,7,10,0,86,64
1950,7,11,0.2,74,63
1950,7,12,0,81,62
1950,7,13,0,83,65
1950,7,14,0.34,79,50
1950,7,15,0,70,44
1950,7,16,0,76,60
1950,7,17,0,80,67
1950,7,18,0,86,71
1950,7,19,0.02,82,51
1950,7,20,1.31,81,55
1950,7,21,0.14,65,44
1950,7,22,0,74,45
1950,7,23,0,80,54
1950,7,24,0,78,60
1950,7,25,0.1,68,62
1950,7,26,0,75,56
1950,7,27,0,79,49
1950,7,28,0,81,57
1950,7,29,0.01,83,56
1950,7,30,0,85,62
1950,7,31,0,83,61
1950,8,1,0.02,81,68
1950,8,2,0.08,86,68
1950,8,3,0,84,63
1950,8,4,0,81,55
1950,8,5,0,69,49
1950,8,6,0,73,50
1950,8,7,0,80,47
1950,8,8,0,77,47
1950,8,9,0,82,52
1950,8,10,0.01,85,63
1950,8,11,0.04,83,60
1950,8,12,0,72,42
1950,8,13,0,73,42
1950,8,14,0,77,47
1950,8,15,0,80,54
1950,8,16,0,82,62
1950,8,17,0.25,82,61
1950,8,18,0,88,64
1950,8,19,0.68,81,62
1950,8,20,0.56,74,61
1950,8,21,0,73,44
1950,8,22,0,71,43
1950,8,23,0,76,54
1950,8,24,0,79,56
1950,8,25,0,82,61
1950,8,26,0,82,65
1950,8,27,0.03,83,65
1950,8,28,0,84,68
1950,8,29,0.5,83,66
1950,8,30,0,82,59
1950,8,31,0.95,77,60
1950,9,1,2.32,77,66
1950,9,2,0.59,80,59
1950,9,3,0,70,49
1950,9,4,0,74,55
1950,9,5,0.1,64,50
1950,9,6,0,62,40
1950,9,7,0,71,44
1950,9,8,0,77,49
1950,9,9,0,78,54
1950,9,10,0.95,81,64
1950,9,11,0.02,74,65
1950,9,12,1.2,74,58
1950,9,13,0,62,54
1950,9,14,0.34,59,54
1950,9,15,0.17,71,57
1950,9,16,0.14,60,54
1950,9,17,0,57,37
1950,9,18,0,61,35
1950,9,19,0,68,51
1950,9,20,0.03,65,39
1950,9,21,0,68,39
1950,9,22,0,68,45
1950,9,23,0,67,49
1950,9,24,0,55,37
1950,9,25,0.21,46,38
1950,9,26,0,52,42
1950,9,27,0,67,49
1950,9,28,0,65,52
1950,9,29,0,61,48
1950,9,30,0,70,47
1950,10,1,0,74,48
1950,10,2,0,78,50
1950,10,3,0,81,56
1950,10,4,0.02,76,38
1950,10,5,0,55,34
1950,10,6,0,57,33
1950,10,7,0,61,41
1950,10,8,0,66,52
1950,10,9,0.28,63,57
1950,10,10,0.79,69,56
1950,10,11,0.53,58,46
1950,10,12,0.11,62,52
1950,10,13,0.11,58,45
1950,10,14,0,53,38
1950,10,15,0,53,33
1950,10,16,0,58,28
1950,10,17,0,62,42
1950,10,18,0,72,47
1950,10,19,0,79,53
1950,10,20,0,77,49
1950,10,21,0,57,30
1950,10,22,0,70,38
1950,10,23,0,62,44
1950,10,24,0.07,52,36
1950,10,25,0,51,40
1950,10,26,0,57,37
1950,10,27,0,48,21
1950,10,28,0.08,53,37
1950,10,29,0,61,48
1950,10,30,0,72,39
1950,10,31,0,76,39
1950,11,1,0,71,47
1950,11,2,0,81,59
1950,11,3,0.03,72,40
1950,11,4,0.75,42,37
1950,11,5,0.73,43,38
1950,11,6,0,40,32
1950,11,7,0,52,38
1950,11,8,0,60,46
1950,11,9,0.09,61,46
1950,11,10,0.23,63,35
1950,11,11,0.26,41,30
1950,11,12,0,37,27
1950,11,13,0,38,22
1950,11,14,0,41,30
1950,11,15,0,45,32
1950,11,16,0.01,56,36
1950,11,17,0,61,40
1950,11,18,0.01,43,31
1950,11,19,0,55,32
1950,11,20,0.24,57,42
1950,11,21,0.19,55,25
