"STATION","NAME","DATE","PRCP"
"USC00294369","JEMEZ SPRINGS, NM US","1950","9.59"
"USC00294369","JEMEZ SPRINGS, NM US","1952","16.21"
"USC00294369","JEMEZ SPRINGS, NM US","1954","12.32"
"USC00294369","JEMEZ SPRINGS, NM US","1955","13.61"
"USC00294369","JEMEZ SPRINGS, NM US","1956","6.17"
"USC00294369","JEMEZ SPRINGS, NM US","1957","28.76"
"USC00294369","JEMEZ SPRINGS, NM US","1958","17.10"
"USC00294369","JEMEZ SPRINGS, NM US","1959","17.19"
"USC00294369","JEMEZ SPRINGS, NM US","1960","19.41"
"USC00294369","JEMEZ SPRINGS, NM US","1961","15.27"
"USC00294369","JEMEZ SPRINGS, NM US","1962","13.09"
"USC00294369","JEMEZ SPRINGS, NM US","1963","13.96"
"USC00294369","JEMEZ SPRINGS, NM US","1964","13.51"
"USC00294369","JEMEZ SPRINGS, NM US","1965","20.79"
"USC00294369","JEMEZ SPRINGS, NM US","1966","11.35"
"USC00294369","JEMEZ SPRINGS, NM US","1967","15.73"
"USC00294369","JEMEZ SPRINGS, NM US","1968","15.00"
"USC00294369","JEMEZ SPRINGS, NM US","1969","22.95"
"USC00294369","JEMEZ SPRINGS, NM US","1970","16.61"
"USC00294369","JEMEZ SPRINGS, NM US","1971","17.14"
"USC00294369","JEMEZ SPRINGS, NM US","1972","15.81"
"USC00294369","JEMEZ SPRINGS, NM US","1976","10.20"
"USC00294369","JEMEZ SPRINGS, NM US","1977","17.25"
"USC00294369","JEMEZ SPRINGS, NM US","1978","23.85"
"USC00294369","JEMEZ SPRINGS, NM US","1980","13.83"
"USC00294369","JEMEZ SPRINGS, NM US","1983","16.48"
"USC00294369","JEMEZ SPRINGS, NM US","1985","25.34"
"USC00294369","JEMEZ SPRINGS, NM US","1986","22.67"
"USC00294369","JEMEZ SPRINGS, NM US","1987","16.14"
"USC00294369","JEMEZ SPRINGS, NM US","1988","21.70"
"USC00294369","JEMEZ SPRINGS, NM US","1989","15.64"
"USC00294369","JEMEZ SPRINGS, NM US","1990","23.33"
"USC00294369","JEMEZ SPRINGS, NM US","1991","20.99"
"USC00294369","JEMEZ SPRINGS, NM US","1992","16.29"
"USC00294369","JEMEZ SPRINGS, NM US","1993","17.38"
"USC00294369","JEMEZ SPRINGS, NM US","1994","22.28"
"USC00294369","JEMEZ SPRINGS, NM US","1995","15.35"
"USC00294369","JEMEZ SPRINGS, NM US","1996","12.40"
"USC00294369","JEMEZ SPRINGS, NM US","1997","24.11"
"USC00294369","JEMEZ SPRINGS, NM US","1998","14.74"
"USC00294369","JEMEZ SPRINGS, NM US","1999","17.16"
"USC00294369","JEMEZ SPRINGS, NM US","2000","15.04"
"USC00294369","JEMEZ SPRINGS, NM US","2001","11.56"
"USC00294369","JEMEZ SPRINGS, NM US","2006","17.75"
"USC00294369","JEMEZ SPRINGS, NM US","2009","15.60"
"USC00294369","JEMEZ SPRINGS, NM US","2010","15.58"
