"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-01","0.00",,"47","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-02","0.00",,"48","40"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-03","0.00",,"45","13"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-04","0.00",,"33","7"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-05","0.00",,"32","13"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-06","0.00",,"35","10"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-07","0.00",,"45","10"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-08","0.00",,"46","16"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-09","0.00",,"53","28"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-10","0.00",,"47","18"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-11","0.00",,"51","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-12","0.00",,"43","28"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-13","0.00",,"40","25"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-14","0.00",,"46","13"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-15","0.00",,"46","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-16","0.00",,"50","19"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-17","0.00",,"60","24"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-18","0.00",,"62","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-19","0.00",,"61","34"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-20","0.00",,"65","31"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-21","0.00",,"67","29"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-22","0.00",,"66","36"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-23","0.00",,"67","34"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-24","0.00",,"63","45"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-25","0.02",,"52","26"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-26","0.00",,"41","19"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-27","0.00",,"49","13"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-28","0.00",,"62","25"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-29","0.00",,"46","38"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-30","0.00",,"52","30"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-01-31","0.00",,"49","24"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-02-01","0.00",,"52","20"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-02-02","0.00",,"46","22"
"USW00023050","ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","1950-02-03","0.00",,"56","31"
