STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/1/50,0,,47,26
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/2/50,0,,48,40
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/3/50,0,,45,13
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/4/50,0,,33,7
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/5/50,0,,32,13
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/6/50,0,,35,10
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/7/50,0,,45,10
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/8/50,0,,46,16
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/9/50,0,,53,28
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/10/50,0,,47,18
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/11/50,0,,51,26
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/12/50,0,,43,28
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/13/50,0,,40,25
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/14/50,0,,46,13
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/15/50,0,,46,26
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/16/50,0,,50,19
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/17/50,0,,60,24
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/18/50,0,,62,29
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/19/50,0,,61,34
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/20/50,0,,65,31
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/21/50,0,,67,29
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/22/50,0,,66,36
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/23/50,0,,67,34
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/24/50,0,,63,45
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/25/50,0.02,,52,26
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/26/50,0,,41,19
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/27/50,0,,49,13
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/28/50,0,,62,25
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/29/50,0,,46,38
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/30/50,0,,52,30
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",1/31/50,0,,49,24
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/1/50,0,,52,20
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/2/50,0,,46,22
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/3/50,0,,56,31
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/4/50,0,,64,28
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/5/50,0,,69,30
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/6/50,0,,68,39
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/7/50,0,,63,38
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/8/50,0,,53,34
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/9/50,0,,52,25
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/10/50,0.01,,46,22
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/11/50,0.21,,48,34
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/12/50,0.11,,36,32
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/13/50,0.01,,41,28
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/14/50,0,,50,24
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/15/50,0,,55,29
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/16/50,0,,60,28
USW00023050,"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US",2/17/50,0,,66,30
