Year,Month,Day,Precip_mm,Cin_mgm,ET_mm,Q_mm,Cout_mgm
1950,1,1,0.00,11.72,0.00,0.00,26.00
1950,1,2,6.83,11.54,0.02,0.90,26.00
1950,1,3,0.98,10.33,0.03,0.81,25.50
1950,1,4,0.00,9.74,0.02,0.73,25.49
1950,1,5,3.17,11.27,0.02,0.66,25.55
1950,1,6,7.07,10.84,0.00,0.59,25.34
1950,1,7,0.00,8.26,0.01,0.53,24.82
1950,1,8,0.00,10.88,0.00,0.48,24.86
1950,1,9,0.00,7.34,0.00,0.43,24.90
1950,1,10,9.61,11.45,0.02,0.39,24.93
1950,1,11,4.33,12.09,0.02,0.35,24.22
1950,1,12,0.00,7.03,0.01,0.31,23.93
1950,1,13,0.00,12.80,0.01,0.28,23.95
1950,1,14,14.10,11.00,0.03,0.27,23.97
1950,1,15,0.00,15.33,0.02,0.23,23.00
1950,1,16,2.19,11.89,0.02,0.21,23.01
1950,1,17,0.00,12.51,0.01,0.19,22.88
1950,1,18,0.00,14.69,0.02,0.17,22.89
1950,1,19,0.24,14.28,0.02,0.15,22.91
1950,1,20,0.00,11.91,0.01,0.14,22.90
1950,1,21,0.24,15.89,0.01,0.12,22.91
1950,1,22,0.00,14.13,0.02,0.11,22.90
1950,1,23,1.95,15.51,0.00,0.10,22.91
1950,1,24,4.63,13.31,0.03,0.09,22.79
1950,1,25,3.17,13.05,0.05,0.08,22.49
1950,1,26,0.00,12.54,0.06,0.07,22.30
1950,1,27,0.73,10.70,0.05,0.06,22.31
1950,1,28,0.00,13.02,0.02,0.06,22.27
1950,1,29,0.00,10.59,0.03,0.05,22.27
1950,1,30,0.98,13.74,0.05,0.05,22.28
1950,1,31,0.00,18.01,0.02,0.04,22.22
1950,2,1,0.00,13.89,0.03,0.04,22.22
1950,2,2,0.00,14.25,0.03,0.03,22.23
1950,2,3,0.00,16.92,0.04,0.03,22.23
1950,2,4,0.00,15.86,0.03,0.03,22.24
1950,2,5,0.00,19.98,0.04,0.03,22.24
1950,2,6,0.00,16.29,0.03,0.02,22.24
1950,2,7,0.00,16.83,0.04,0.02,22.25
1950,2,8,0.00,14.96,0.02,0.02,22.25
1950,2,9,0.00,15.67,0.04,0.02,22.25
1950,2,10,0.00,14.66,0.06,0.01,22.26
1950,2,11,0.94,19.70,0.05,0.01,22.26
1950,2,12,0.00,17.91,0.07,0.01,22.21
1950,2,13,0.00,17.52,0.05,0.01,22.21
1950,2,14,0.00,14.04,0.01,0.01,22.22
1950,2,15,0.00,17.14,0.01,0.01,22.22
1950,2,16,9.75,17.13,0.04,0.03,22.22
1950,2,17,0.00,14.69,0.05,0.01,21.62
1950,2,18,3.48,20.62,0.04,0.01,21.63
1950,2,19,4.85,16.39,0.03,0.01,21.42
1950,2,20,0.00,19.36,0.06,0.01,21.14
1950,2,21,0.00,19.00,0.02,0.00,21.15
1950,2,22,0.00,14.91,0.05,0.00,21.15
1950,2,23,0.00,17.54,0.08,0.00,21.15
1950,2,24,0.00,17.93,0.05,0.00,21.16
1950,2,25,0.00,18.40,0.09,0.00,21.16
1950,2,26,0.00,19.56,0.05,0.00,21.16
1950,2,27,0.00,16.74,0.05,0.00,21.17
1950,2,28,0.00,20.75,0.04,0.00,21.17
1950,3,1,0.00,17.27,0.09,0.00,21.17
1950,3,2,0.00,19.19,0.08,0.00,21.18
1950,3,3,0.00,19.41,0.04,0.00,21.18
1950,3,4,0.00,15.70,0.05,0.00,21.18
1950,3,5,0.00,20.05,0.11,0.00,21.19
1950,3,6,0.00,19.23,0.13,0.00,21.19
1950,3,7,0.00,19.89,0.07,0.00,21.20
1950,3,8,0.00,21.49,0.13,0.00,21.21
1950,3,9,0.00,16.03,0.13,0.00,21.21
1950,3,10,0.00,18.15,0.03,0.00,21.22
1950,3,11,0.00,21.43,0.09,0.00,21.22
1950,3,12,0.00,16.80,0.12,0.00,21.23
1950,3,13,0.00,20.54,0.08,0.00,21.23
1950,3,14,0.00,18.97,0.08,0.00,21.24
1950,3,15,0.00,16.35,0.07,0.00,21.24
1950,3,16,0.00,20.68,0.12,0.00,21.25
1950,3,17,0.00,20.48,0.12,0.00,21.25
