Year,Month,Day,Precip_mm,Runoff_mm,Evap_mm,Transpiration_mm,SoilWater_mm,Recharge_mm,Tmax_C,Tmin_C,del_O,del_H,RelHum
2009,1,1,0,0,0,0,73.13,0,0,-13.33333333,-15.40295416,-104.0103539,0.666
2009,1,2,0,0,0,0,73.13,0,-2.222222222,-13.88888889,-15.40295416,-104.0103539,0.666
2009,1,3,0,0,0,0,73.13,0,3.333333333,-8.888888889,-15.40295416,-104.0103539,0.666
2009,1,4,0,0,0,0,73.13,0,0.555555556,-11.11111111,-15.40295416,-104.0103539,0.666
2009,1,5,0.1,0,0,0,73.23,0,5,-10,-15.40295416,-104.0103539,0.666
2009,1,6,8.3,0,0,0,81.53,0,1.666666667,-6.111111111,-15.40295416,-104.0103539,0.666
2009,1,7,0,0,0,0,81.53,0,-1.111111111,-6.111111111,-15.40295416,-104.0103539,0.666
2009,1,8,6.11,0,0,0,87.64,0,1.111111111,-5.555555556,-15.40295416,-104.0103539,0.666
2009,1,9,0,0,0,0,87.64,0,-5,-7.777777778,-15.40295416,-104.0103539,0.666
2009,1,10,0,0,0,0,87.64,0,-5,-8.333333333,-15.40295416,-104.0103539,0.666
2009,1,11,0,0,0,0,87.64,0,-2.222222222,-6.666666667,-15.40295416,-104.0103539,0.666
2009,1,12,0,0,0,0,87.64,0,-5,-9.444444444,-15.40295416,-104.0103539,0.666
2009,1,13,0,0,0,0,87.64,0,-3.888888889,-8.888888889,-14.61806981,-126.951623,0.666
2009,1,14,1.34,0,0,0,88.97,0,-0.555555556,-17.22222222,-13.01500299,-109.3546268,0.666
2009,1,15,0,0,0,0,88.97,0,-10,-18.33333333,-13.01500299,-109.3546268,0.666
2009,1,16,0,0,0,0,88.97,0,-10,-21.11111111,-13.01500299,-109.3546268,0.666
2009,1,17,0,0,0,0,88.97,0,-15.55555556,-22.77777778,-13.01500299,-109.3546268,0.666
2009,1,18,0,0,0,0,88.97,0,-8.333333333,-25,-13.01500299,-109.3546268,0.666
2009,1,19,0,0,0,0,88.97,0,-5,-10.55555556,-13.01500299,-109.3546268,0.666
2009,1,20,0,0,0,0,88.97,0,-6.111111111,-14.44444444,-13.01500299,-109.3546268,0.666
2009,1,21,0,0,0,0,88.97,0,-6.111111111,-17.77777778,-13.01500299,-109.3546268,0.666
2009,1,22,0,0,0,0,88.97,0,-6.666666667,-17.77777778,-13.01500299,-109.3546268,0.666
2009,1,23,8.83,0,0,0,97.5,0.3,1.666666667,-7.222222222,-13.01500299,-109.3546268,0.666
2009,1,24,13.86,0.82,0.17,0.11,97.5,12.77,10,-5.555555556,-16.1734,-150.2777467,0.666
2009,1,25,0,0,0,0,97.5,0,-5.555555556,-17.77777778,-16.1734,-150.2777467,0.666
2009,1,26,0.19,0,0,0,97.5,0.19,-8.888888889,-15.55555556,-16.1734,-150.2777467,0.666
2009,1,27,0,0,0,0,97.5,0,-5,-12.77777778,-16.1734,-150.2777467,0.666
2009,1,28,0,0,0,0,97.5,0,-5.555555556,-8.888888889,-16.1734,-150.2777467,0.666
