Year,Month,Day,Precip,Tmax,Tmin
1994,1,1,0,27,16
1994,1,2,0.02,39,26
1994,1,3,0,32,13
1994,1,4,0.45,25,13
1994,1,5,0.22,22,11
1994,1,6,0,19,1
1994,1,7,0.07,18,1
1994,1,8,0.68,15,11
1994,1,9,0,19,8
1994,1,10,0,18,8
1994,1,11,0,21,8
1994,1,12,0,31,21
1994,1,13,0.37,32,25
1994,1,14,0,35,22
1994,1,15,0.05,22,-3
1994,1,16,0,4,-8
1994,1,17,0,12,-9
1994,1,18,1.64,24,4
1994,1,19,0,6,-15
1994,1,20,0,1,-21
1994,1,21,0,12,-24
1994,1,22,0,17,-20
1994,1,23,0,24,-2
1994,1,24,0,38,13
1994,1,25,0,37,23
1994,1,26,0.2,24,2
1994,1,27,0.03,9,-24
1994,1,28,0.84,39,6
1994,1,29,1.15,50,29
1994,1,30,0,29,10
1994,1,31,0,14,-7
1994,2,1,0,15,-5
1994,2,2,0.01,19,-14
1994,2,3,0,21,-13
1994,2,4,0,24,2
1994,2,5,0,29,7
1994,2,6,0,40,9
1994,2,7,0,37,12
1994,2,8,0,18,3
1994,2,9,0.69,11,2
1994,2,10,0.53,10,-7
1994,2,11,0.2,12,-10
1994,2,12,0.9,20,10
1994,2,13,0.04,30,18
1994,2,14,0,33,9
1994,2,15,0,19,-4
1994,2,16,0,45,15
1994,2,17,0,27,3
1994,2,18,0,51,18
1994,2,19,0,58,21
1994,2,20,0,59,21
1994,2,21,0.01,55,36
1994,2,22,0.47,39,25
1994,2,23,0,29,18
1994,2,24,0.23,29,22
1994,2,25,0.3,23,13
1994,2,26,0.08,22,8
1994,2,27,0,15,5
1994,2,28,0,15,-2
1994,3,1,0,22,0
1994,3,2,0,29,-4
1994,3,3,0.69,28,5
1994,3,4,0.04,28,1
1994,3,5,0,35,20
1994,3,6,0,33,4
1994,3,7,0,37,10
1994,3,8,0.09,38,29
1994,3,9,0,40,11
1994,3,10,1.04,35,19
1994,3,11,0.62,38,23
1994,3,12,0,31,1
1994,3,13,0,40,8
1994,3,14,0,45,29
1994,3,15,0.08,39,30
1994,3,16,0,40,22
1994,3,17,0,26,13
1994,3,18,0,24,13
1994,3,19,0.3,25,13
1994,3,20,0,35,23
1994,3,21,0,36,15
1994,3,22,0.77,42,29
1994,3,23,0,49,31
1994,3,24,0,64,28
1994,3,25,0,64,33
1994,3,26,0,33,26
1994,3,27,0.06,42,27
1994,3,28,0.78,40,34
1994,3,29,0.68,37,29
1994,3,30,0.16,45,32
1994,3,31,0,40,23
1994,4,1,0,49,27
1994,4,2,0,54,28
1994,4,3,0,62,39
1994,4,4,0.04,52,29
1994,4,5,0,52,30
1994,4,6,0,58,38
1994,4,7,0.55,38,29
1994,4,8,0.03,38,20
1994,4,9,0,49,24
1994,4,10,0,56,41
1994,4,11,0.16,51,27
1994,4,12,0,51,34
1994,4,13,0.68,46,39
1994,4,14,0.87,58,44
1994,4,15,0,63,36
1994,4,16,0,83,45
1994,4,17,0.47,57,36
1994,4,18,0,52,34
1994,4,19,0,61,38
1994,4,20,0.12,67,33
1994,4,21,0,50,29
1994,4,22,0,47,23
1994,4,23,0,49,24
1994,4,24,0,61,35
1994,4,25,0,77,48
1994,4,26,0.01,67,55
1994,4,27,0,85,59
1994,4,28,0.1,80,38
1994,4,29,0,53,37
1994,4,30,0.07,69,41
1994,5,1,0,56,41
1994,5,2,0.31,61,36
1994,5,3,0,52,28
1994,5,4,0,60,35
1994,5,5,0.06,65,35
1994,5,6,0,66,40
1994,5,7,0.1,51,42
1994,5,8,1.44,62,46
1994,5,9,0,53,37
1994,5,10,0,65,37
1994,5,11,0,56,31
1994,5,12,0,65,36
1994,5,13,0.07,57,34
1994,5,14,0,57,29
1994,5,15,0,67,38
1994,5,16,1,63,54
1994,5,17,1.75,59,41
1994,5,18,0.03,48,39
1994,5,19,0.32,45,40
1994,5,20,0.51,55,33
1994,5,21,0,68,36
1994,5,22,0,74,44
1994,5,23,0,82,49
1994,5,24,0,78,45
1994,5,25,0,71,54
1994,5,26,0.34,70,56
1994,5,27,0,72,37
1994,5,28,0,56,33
1994,5,29,0,65,45
1994,5,30,0,78,53
1994,5,31,0,83,61
1994,6,1,0,83,61
1994,6,2,0,83,61
1994,6,3,0,83,61
1994,6,4,0,83,61
1994,6,5,0,83,61
1994,6,6,0.08,83,61
1994,6,7,0.01,83,61
1994,6,8,0,83,61
1994,6,9,0,83,61
1994,6,10,0,83,61
1994,6,11,0,83,61
1994,6,12,0.62,83,61
1994,6,13,1.47,83,61
1994,6,14,0.16,83,61
1994,6,15,0,83,61
1994,6,16,0,83,61
1994,6,17,0,83,61
1994,6,18,0.02,83,61
1994,6,19,0,83,61
1994,6,20,0,83,61
1994,6,21,0,83,61
1994,6,22,0.38,83,61
1994,6,23,0,83,61
1994,6,24,0.04,83,61
1994,6,25,2.36,83,61
1994,6,26,0.62,83,61
1994,6,27,0.09,83,61
1994,6,28,0,83,61
1994,6,29,0,83,61
1994,6,30,1.35,83,61
1994,7,1,0.23,83,61
1994,7,2,0,83,61
1994,7,3,0,83,61
1994,7,4,0,83,61
1994,7,5,0,83,61
1994,7,6,0.01,83,61
1994,7,7,2.12,83,61
1994,7,8,0,83,61
1994,7,9,1.61,83,61
1994,7,10,0.27,83,61
1994,7,11,0,83,61
1994,7,12,0,83,61
1994,7,13,0,83,61
1994,7,14,0,83,61
1994,7,15,0.07,83,61
1994,7,16,0,83,61
1994,7,17,0,83,61
1994,7,18,0,83,61
1994,7,19,0.23,83,61
1994,7,20,0,83,61
1994,7,21,0,83,61
1994,7,22,0,83,61
1994,7,23,0.27,83,61
1994,7,24,0.95,83,61
1994,7,25,0.02,83,61
1994,7,26,0,83,61
1994,7,27,0.97,83,61
1994,7,28,1.02,83,61
1994,7,29,0.09,83,61
1994,7,30,0.11,83,61
1994,7,31,0,83,61
1994,8,1,0,87,61
1994,8,2,0,83,60
1994,8,3,0,85,62
1994,8,4,0,83,64
1994,8,5,0,83,58
1994,8,6,0.48,62,41
1994,8,7,0,70,45
1994,8,8,0,75,51
1994,8,9,0,80,62
1994,8,10,0,77,57
1994,8,11,0,70,53
1994,8,12,0.06,68,56
1994,8,13,0,81,64
1994,8,14,0.27,77,66
1994,8,15,0.6,71,50
1994,8,16,0,68,45
1994,8,17,0,74,55
1994,8,18,1.05,72,63
1994,8,19,0.01,74,57
1994,8,20,0.09,80,59
1994,8,21,0,82,67
1994,8,22,0.39,72,62
1994,8,23,2.15,71,43
1994,8,24,0,70,43
1994,8,25,0,75,49
1994,8,26,0,77,59
1994,8,27,0,82,63
1994,8,28,0,79,59
1994,8,29,0.55,79,53
1994,8,30,0.21,69,47
1994,8,31,0,70,53
1994,9,1,0,71,57
1994,9,2,0,65,43
1994,9,3,0,65,39
1994,9,4,0,67,40
1994,9,5,0,67,38
1994,9,6,0,67,38
1994,9,7,0,70,46
1994,9,8,0,70,48
1994,9,9,0,76,55
1994,9,10,0.22,74,45
1994,9,11,0,63,44
1994,9,12,0,60,37
1994,9,13,0,70,44
1994,9,14,0,81,64
1994,9,15,0.01,70,54
1994,9,16,0,74,54
1994,9,17,0,84,68
1994,9,18,0.64,74,50
1994,9,19,0,65,46
1994,9,20,0,64,41
1994,9,21,0,75,45
1994,9,22,0,77,50
1994,9,23,0.84,69,53
1994,9,24,0.24,64,54
1994,9,25,0,65,58
1994,9,26,0,68,60
1994,9,27,0.15,73,61
1994,9,28,0.4,76,51
1994,9,29,0.11,59,47
1994,9,30,0,55,46
1994,10,1,0,58,46
1994,10,2,0.41,55,45
1994,10,3,0,55,29
1994,10,4,0,56,35
1994,10,5,0,48,41
1994,10,6,0,48,32
1994,10,7,0,62,32
1994,10,8,0,70,45
1994,10,9,0,73,52
1994,10,10,0.07,68,42
1994,10,11,0,51,30
1994,10,12,0,53,28
1994,10,13,0,61,31
1994,10,14,0,62,39
1994,10,15,0,61,31
1994,10,16,0,61,27
1994,10,17,0,58,27
1994,10,18,0,67,29
1994,10,19,0,70,45
1994,10,20,0.04,64,44
1994,10,21,0.34,67,46
1994,10,22,0,56,42
1994,10,23,0,57,37
1994,10,24,0.65,66,32
1994,10,25,0,61,34
