Year,Month,Day,Precip,Tmax,Tmin
1997,1,1,0.08,22,-1
1997,1,2,0,30,4
1997,1,3,0,47,29
1997,1,4,0,46,33
1997,1,5,0.02,49,34
1997,1,6,0.06,54,31
1997,1,7,0,31,21
1997,1,8,0,25,18
1997,1,9,0.31,25,13
1997,1,10,0.25,31,16
1997,1,11,0.07,32,16
1997,1,12,0,20,13
1997,1,13,0,21,14
1997,1,14,0,24,14
1997,1,15,0,28,6
1997,1,16,0.1,36,11
1997,1,17,0.84,36,4
1997,1,18,0,9,1
1997,1,19,0,8,-11
1997,1,20,0,21,-7
1997,1,21,0,31,17
1997,1,22,0,35,17
1997,1,23,0.22,46,35
1997,1,24,1.36,37,6
1997,1,25,0.36,43,12
1997,1,26,0,49,16
1997,1,27,0,18,1
1997,1,28,0.56,35,13
1997,1,29,0.31,28,13
1997,1,30,0,19,5
1997,1,31,0.01,27,10
1997,2,1,0.18,37,27
1997,2,2,0,37,28
1997,2,3,0.03,38,29
1997,2,4,0.02,36,29
1997,2,5,0.74,37,29
1997,2,6,0.05,40,27
1997,2,7,0,33,26
1997,2,8,0,31,20
1997,2,9,0.01,32,13
1997,2,10,0,29,7
1997,2,11,0,28,17
1997,2,12,0,32,19
1997,2,13,0.12,32,5
1997,2,14,0.15,26,5
1997,2,15,0.51,36,25
1997,2,16,0,35,6
1997,2,17,0.12,22,10
1997,2,18,0,39,12
1997,2,19,0,59,35
1997,2,20,0,56,27
1997,2,21,0,46,26
1997,2,22,0,60,44
1997,2,23,0,63,19
1997,2,24,0,36,22
1997,2,25,0,31,10
1997,2,26,0,35,10
1997,2,27,0.05,51,35
1997,2,28,0.01,67,30
1997,3,1,0.09,44,25
1997,3,2,0,52,40
1997,3,3,0,53,28
1997,3,4,0.24,35,29
1997,3,5,0.07,40,31
1997,3,6,0.19,43,27
1997,3,7,0,33,21
1997,3,8,0,30,19
1997,3,9,0,36,6
1997,3,10,0.52,38,11
1997,3,11,0,46,29
1997,3,12,0,39,23
1997,3,13,0,34,13
1997,3,14,0.03,29,20
1997,3,15,0.99,41,22
1997,3,16,0,28,17
1997,3,17,0,25,14
1997,3,18,0,43,23
1997,3,19,0,32,16
1997,3,20,0.06,43,23
1997,3,21,0.11,38,24
1997,3,22,0,46,29
1997,3,23,0,30,17
1997,3,24,0,29,16
1997,3,25,0,39,22
1997,3,26,0.22,47,34
1997,3,27,0.14,42,33
1997,3,28,0,64,31
1997,3,29,0,71,49
1997,3,30,0.09,60,41
1997,3,31,0.13,48,25
1997,4,1,2.3,31,25
1997,4,2,0,39,20
1997,4,3,0,51,28
1997,4,4,0,65,35
1997,4,5,0,58,35
1997,4,6,0.01,65,47
1997,4,7,0.01,74,41
1997,4,8,0,51,31
1997,4,9,0,41,16
1997,4,10,0,31,16
1997,4,11,0,40,21
1997,4,12,0,45,30
1997,4,13,0.72,51,37
1997,4,14,0,46,31
1997,4,15,0,46,22
1997,4,16,0,55,27
1997,4,17,0,64,34
1997,4,18,0.17,40,31
1997,4,19,0.08,39,31
1997,4,20,0,36,33
1997,4,21,0,41,35
1997,4,22,0,56,29
1997,4,23,0,62,34
1997,4,24,0,61,34
1997,4,25,0,57,29
1997,4,26,0,57,29
1997,4,27,0.4,60,29
1997,4,28,0.58,65,37
1997,4,29,0,52,31
1997,4,30,0,64,34
1997,5,1,0,74,48
1997,5,2,0.06,73,37
1997,5,3,0,57,42
1997,5,4,1.36,64,40
1997,5,5,0,54,29
1997,5,6,0.03,64,44
1997,5,7,0.34,58,32
1997,5,8,0,49,26
1997,5,9,0.15,61,40
1997,5,10,0.09,65,40
1997,5,11,0,46,41
1997,5,12,0,63,46
1997,5,13,0,66,45
1997,5,14,0.05,62,39
1997,5,15,0,64,45
1997,5,16,0,62,36
1997,5,17,0,46,39
1997,5,18,0.01,51,31
1997,5,19,0.34,67,41
1997,5,20,0.35,75,43
1997,5,21,0.03,55,38
1997,5,22,0,52,41
1997,5,23,0,53,35
1997,5,24,0,61,39
1997,5,25,0,74,48
1997,5,26,0.54,58,40
1997,5,27,0,59,31
1997,5,28,0,64,35
1997,5,29,0,73,42
1997,5,30,0.02,70,52
1997,5,31,0.03,66,55
1997,6,1,0,76,55
1997,6,2,0.05,63,56
1997,6,3,0.49,61,47
1997,6,4,0.03,69,41
1997,6,5,0,73,42
1997,6,6,0,77,47
1997,6,7,0,77,53
1997,6,8,0,64,49
1997,6,9,0,72,47
1997,6,10,0,79,49
1997,6,11,0,84,49
1997,6,12,0,84,54
1997,6,13,0,81,57
1997,6,14,3.95,77,49
1997,6,15,0,67,40
1997,6,16,0,75,53
1997,6,17,0,78,59
1997,6,18,0,76,60
1997,6,19,1.16,71,61
1997,6,20,0,74,55
1997,6,21,0,83,64
1997,6,22,0.42,88,69
1997,6,23,0,80,53
1997,6,24,0,79,55
1997,6,25,0,84,60
1997,6,26,0,89,67
1997,6,27,0.43,76,51
1997,6,28,0,77,50
1997,6,29,0,85,54
1997,6,30,0,84,59
1997,7,1,0,85,62
1997,7,2,0,76,65
1997,7,3,0.31,78,67
1997,7,4,0.02,82,65
1997,7,5,0,66,47
1997,7,6,0,74,46
1997,7,7,0,80,55
