Year,Month,Day,Precip,Tmax,Tmin
1990,1,1,0.44,42,30
1990,1,2,0,30,25
1990,1,3,0,39,20
1990,1,4,0,43,26
1990,1,5,0,48,30
1990,1,6,0,36,18
1990,1,7,0,36,18
1990,1,8,0,41,20
1990,1,9,0.51,39,23
1990,1,10,0,44,33
1990,1,11,0.07,37,30
1990,1,12,0,39,29
1990,1,13,0,29,13
1990,1,14,0,23,13
1990,1,15,0.1,33,22
1990,1,16,0.11,37,30
1990,1,17,0,52,35
1990,1,18,0,55,46
1990,1,19,0,51,24
1990,1,20,0,29,19
1990,1,21,0.7,35,28
1990,1,22,0.33,41,30
1990,1,23,0.08,40,23
1990,1,24,0.01,41,24
1990,1,25,0.07,55,27
1990,1,26,0.81,54,32
1990,1,27,0.13,32,20
1990,1,28,0,40,23
1990,1,29,0.03,38,28
1990,1,30,1.65,34,28
1990,1,31,0,35,14
1990,2,1,0,43,15
1990,2,2,0,47,35
1990,2,3,0.15,35,15
1990,2,4,0.32,35,15
1990,2,5,0.17,26,15
1990,2,6,0,35,20
1990,2,7,0,42,27
1990,2,8,0,45,20
1990,2,9,0,49,23
1990,2,10,0.13,53,34
1990,2,11,0.21,39,20
1990,2,12,0,36,19
1990,2,13,0,34,21
1990,2,14,0,53,32
1990,2,15,0.09,34,22
1990,2,16,0.33,45,29
1990,2,17,0.04,59,26
1990,2,18,0,26,7
1990,2,19,0,37,12
1990,2,20,0,44,17
1990,2,21,0,24,13
1990,2,22,0,53,22
1990,2,23,0.27,56,40
1990,2,24,0.48,55,16
1990,2,25,0.23,27,11
1990,2,26,0,11,-2
1990,2,27,0,20,0
1990,2,28,0,34,19
1990,3,1,0,24,8
1990,3,2,0,41,18
1990,3,3,0,55,28
1990,3,4,0,35,13
1990,3,5,0,24,11
1990,3,6,0.29,28,14
1990,3,7,0.04,22,-2
1990,3,8,0,30,6
1990,3,9,0,47,15
1990,3,10,0.01,42,33
1990,3,11,0.02,58,38
1990,3,12,0.02,60,40
1990,3,13,0,71,44
1990,3,14,0,74,47
1990,3,15,0,79,50
1990,3,16,0,79,60
1990,3,17,0,75,61
1990,3,18,0.77,65,37
1990,3,19,0,43,29
1990,3,20,0.22,44,26
1990,3,21,1.13,32,24
1990,3,22,0,44,27
1990,3,23,0,62,40
1990,3,24,0,44,21
1990,3,25,0,33,18
1990,3,26,0,44,22
1990,3,27,0,38,18
1990,3,28,0,32,16
1990,3,29,0,45,20
1990,3,30,0.31,49,30
1990,3,31,0.44,38,35
1990,4,1,0.03,51,38
1990,4,2,0.03,47,42
1990,4,3,0.45,57,36
1990,4,4,0.65,39,32
1990,4,5,0.01,37,33
1990,4,6,0,46,29
1990,4,7,0.16,40,27
1990,4,8,0.02,40,25
1990,4,9,0,44,27
1990,4,10,0,60,37
1990,4,11,0.4,53,33
1990,4,12,0,40,25
1990,4,13,0,36,22
1990,4,14,0,49,30
1990,4,15,0.92,53,38
1990,4,16,0.1,58,37
1990,4,17,0,58,40
1990,4,18,0.06,49,30
1990,4,19,0,44,25
1990,4,20,0,63,35
1990,4,21,0.2,62,44
1990,4,22,0.31,50,38
1990,4,23,0,66,37
1990,4,24,0,68,36
1990,4,25,0,78,53
1990,4,26,0.2,83,53
1990,4,27,0,84,52
1990,4,28,0,86,53
1990,4,29,0,89,62
1990,4,30,1.02,74,54
1990,5,1,0.07,67,48
1990,5,2,0,70,38
1990,5,3,0,56,29
1990,5,4,0,58,42
1990,5,5,1.09,65,47
1990,5,6,0.31,56,40
1990,5,7,0,57,35
1990,5,8,0,55,46
1990,5,9,0,79,51
1990,5,10,0.18,79,59
1990,5,11,1.9,64,38
1990,5,12,0,47,30
1990,5,13,0.02,58,43
1990,5,14,0.87,61,41
1990,5,15,0,69,44
1990,5,16,0.01,73,57
